PG.ProteinGroups,PG.ProteinAccessions,PG.Genes,PG.Organisms,PG.ProteinDescriptions,PG.ProteinNames,P1,P2,P3,S1,S2,S3,T1,T2,T3,S1_cf,S2_cf,S3_cf,P1_cf,P2_cf,P3_cf,T1_cf,T2_cf,T3_cf,S/T_mean,S/SP_mean,S/P_mean,S/P_pval,S/T_pval,log2(S/T),S/P_pval_adj,-logPval_S/T,-logPval_S/P
O13563,O13563,RPN13,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),26S proteasome regulatory subunit RPN13,RPN13_YEAST,1174.779296875,1371.588623046875,1390.9114990234375,1382.868896484375,1222.882568359375,1197.1624755859375,1334.509765625,1204.922607421875,1311.7078857421875,405.9817259154113,312.5226430467597,353.8232686268284,829.8883764648924,1021.0623233527372,979.8253991903771,1334.509765625,1204.922607421875,1311.7078857421875,0.27844419198748627,0.2747371604639769,0.378810474613226,0.0034835835112553195,0.00010987034429391001,-1.844539894830065,0.005317964268519983,3.959119514560294,2.2742545850256506
O13565,O13565,YLR358C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Uncharacterized protein YLR358C,YL358_YEAST,0.8242535591125488,,,11.655071258544922,7.196530342102051,10.04429817199707,0.5409327149391174,1.1215577125549316,3.970387935638428,3.4216880264214087,1.8391616181898063,2.968608257236815,0.5822697504007053,,,0.5409327149391174,1.1215577125549316,3.970387935638428,1.4609685086953625,0.8249035210862365,4.711137118254152,,0.5138500989052102,0.5469250810581278,,0.28916355554380224,
O13577,O13577,DIF1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Damage-regulated import facilitator 1,DIF1_YEAST,120.10920715332033,112.71485900878906,123.27782440185548,90.66334533691406,129.65000915527344,119.5465087890625,100.46525573730467,103.31841278076172,127.36045837402344,26.61688429808517,33.13365042614234,35.332160300104235,84.84762643341033,83.90919396825379,86.84286785368928,100.46525573730467,103.31841278076172,127.36045837402344,0.28713387103288834,0.2711362177224026,0.3719984780628553,0.0009988242783212733,0.00723345909982251,-1.8002045703718335,0.0022318376433089968,2.140653969827249,2.6513374016608093
O13585,O13585,YPR089W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Dilute domain-containing protein YPR089W,YP089_YEAST,394.4597778320313,354.53741455078125,394.4395446777344,341.3895568847656,374.0042724609375,355.5360717773437,295.39031982421875,320.522216796875,308.1875,100.22491782549153,95.58138022777267,105.07924997351137,278.654540028516,263.9310286873978,277.8623115789046,295.39031982421875,320.522216796875,308.1875,0.32559845915269325,0.26832834946973755,0.36673328709028513,4.41762455056615e-05,0.00033274480117819984,-1.6188342226112986,0.00041272959501905147,3.477888721239488,3.3843343886640413
O14455,O14455,RPL36B,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Large ribosomal subunit protein eL36B,RL36B_YEAST,8525.0810546875,9817.2255859375,10221.8388671875,6192.96630859375,5981.728515625,8206.9091796875,6700.03564453125,6917.29345703125,5938.8720703125,1818.1269076849849,1528.7041078681216,2425.565026049889,6022.2934593126465,7308.313146683708,7200.758175867907,6700.03564453125,6917.29345703125,5938.8720703125,0.2951695981684132,0.2194513583188102,0.2811501379928655,0.001191098593980121,0.00034343059688521414,-1.760383960312762,0.0025045262327473895,3.464161015329834,2.6012744150913476
O14464,O14464,RTC6,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Large ribosomal subunit protein bL36m,RTC6_YEAST,98.54923248291016,88.06340026855469,110.70002746582033,28.915283203125,50.49163436889648,42.231475830078125,49.558406829833984,53.97575378417969,53.48790740966797,8.488929507331811,12.903756609997608,12.48157967014437,69.61721470973939,65.55771794082568,77.982458753298,49.558406829833984,53.97575378417969,53.48790740966797,0.2157293316399639,0.13712520157380753,0.1589166838849759,0.0013468682201266755,3.220082365612857e-05,-2.2127057490120947,0.0027019452010886283,4.492133019461414,2.5683234632733356
O14467,O14467,MBF1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Multiprotein-bridging factor 1,MBF1_YEAST,25100.435546875,24919.392578125,25871.712890625,10519.458984375,12726.0400390625,11716.595703125,19865.267578125,21612.7421875,20976.953125,3088.2957343463518,3252.2956589875175,3462.8584451995303,17731.46646350391,18550.936085950383,18225.28710747851,19865.267578125,21612.7421875,20976.953125,0.15696830779808174,0.15243781894464054,0.17985443705714838,2.2840208223833275e-05,0.0005305534511055273,-2.671454789260459,0.00029887844339383053,3.2752708561531985,3.5245054073184106
O14468,O14468,YOR304C-A,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Uncharacterized protein YOR304C-A,YO304_YEAST,121.9385223388672,175.46888732910156,180.4418029785156,131.7948455810547,124.25357818603516,160.53175354003906,129.9403533935547,158.1987762451172,129.38507080078125,38.69224263542199,31.754526286865122,47.445414398018954,86.13989249003424,130.62566046543319,127.11194188716405,129.9403533935547,158.1987762451172,129.38507080078125,0.2823601199552553,0.2553051637979297,0.34283192441615584,0.0253506248398918,0.0029989845714593617,-1.8243917555900435,0.028810957965668803,2.5230257685009927,1.5404423011681438
O43137,O43137,YBR085C-A,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Uncharacterized protein YBR085C-A,YB085_YEAST,226.00164794921875,232.82546997070312,246.32171630859372,743.6101684570312,662.7589111328125,614.9473876953125,381.1495971679688,277.5591125488281,320.5657958984375,218.30857600885113,169.37617067181017,181.74867587742557,159.6522352699614,173.32406474463335,173.52094233226248,381.1495971679688,277.5591125488281,320.5657958984375,0.5814849863780915,0.5292473215347897,1.1242576956976402,0.2871577664744023,0.028193644773955074,-0.7821861522989226,0.2929077670426621,1.5498487764556097,0.5332691119679573
O60200,O60200,MDM35,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Mitochondrial distribution and morphology protein 35,MDM35_YEAST,38.2334213256836,38.49164962768555,42.88308334350586,60.67496109008789,54.609500885009766,64.5262222290039,46.99855422973633,37.15547561645508,46.67760467529297,17.81291450391851,13.956127917453584,19.070827332800388,27.00887905930289,28.654636337837967,30.208920039172686,46.99855422973633,37.15547561645508,46.67760467529297,0.38859003741808235,0.37187486293450706,0.5920394535901731,0.005598521690327599,0.005850287447638824,-1.363679180973294,0.0077653401338449906,2.2328227947970567,2.109839516752319
O74700,O74700,TIM9,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Mitochondrial import inner membrane translocase subunit TIM9,TIM9_YEAST,1312.188232421875,1317.113037109375,1338.641845703125,1464.6358642578125,1406.7657470703125,1309.0621337890625,1302.081787109375,1395.1558837890625,1303.91748046875,429.9868176373546,359.51624530219186,386.89539010664373,926.9568885982814,980.5086417249446,943.004124820242,1302.081787109375,1395.1558837890625,1303.91748046875,0.2940147053893217,0.29213731898834366,0.41270337711663185,4.446625382306198e-05,4.346576823355788e-05,-1.766039780432229,0.0004145339871653207,4.361852640054758,3.3824398563483467
O75012,O75012,MRP10,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Small ribosomal subunit protein mS37,MRP10_YEAST,132.03744506835938,129.8815460205078,134.52003479003906,107.47879028320312,84.4073257446289,107.64201354980467,129.28182983398438,152.57620239257812,127.68303680419922,31.553551381049783,21.571327629283886,31.81376784894996,93.273980237679,96.68872350788877,94.76242512898547,129.28182983398438,152.57620239257812,127.68303680419922,0.20739958280692888,0.2297727081607278,0.2983180557157871,0.0012898558217308577,0.0019141276260366377,-2.269515102775665,0.002631994783589099,2.7180291086513444,2.5797149757954356
O94742,O94742,SEM1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),26S proteasome complex subunit SEM1,SEM1_YEAST,1576.93115234375,1191.52734375,1345.2615966796875,1426.556884765625,1399.7109375,1095.8212890625,1273.707275390625,1156.322509765625,1076.948974609375,418.8076163011775,357.71330216590724,323.871720200042,1113.9767591211762,887.0179130277837,947.6673978952762,1273.707275390625,1156.322509765625,1076.948974609375,0.313772256419559,0.2717653175442852,0.3731837058732941,0.005535090701960545,0.00127489239799364,-1.672210299290672,0.007702326215833877,2.8945264685081553,2.1133780916940235
P00044,P00044,CYC1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Cytochrome c isoform 1,CYC1_YEAST,1355.8968505859375,1278.921630859375,1504.91259765625,1089.2659912109375,1187.9609375,1152.2867431640625,1394.3292236328125,1304.9437255859375,1422.869140625,319.7859813153837,303.59799185125104,340.5601747265962,957.8335598693766,952.0775178861458,1060.1332922910258,1394.3292236328125,1304.9437255859375,1422.869140625,0.23384544416074926,0.24502973089460012,0.32455547048885447,0.001333275842845857,0.00047936618001555867,-2.096372772825908,0.0026860109847163,3.319332609331845,2.5708922155720244
P00045,P00045,CYC7,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Cytochrome c isoform 2,CYC7_YEAST,48.81740188598633,55.673187255859375,55.41856002807617,82.3076400756836,92.63407135009766,55.35758209228516,93.07272338867188,96.87586212158205,87.37583923339844,24.163821934893058,23.673773397027336,16.36102119687955,34.48562168414351,41.44522123670096,39.03951670554895,93.07272338867188,96.87586212158205,87.37583923339844,0.23149283222400113,0.358313240977568,0.5583927608595741,0.007248004123526707,4.802927306791271e-05,-2.110960571272176,0.0095663817534148,4.318493986440016,2.019252292281387
P00127,P00127,QCR6,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),"Cytochrome b-c1 complex subunit 6, mitochondrial",QCR6_YEAST,201.8963623046875,176.65065002441406,182.7608795166016,197.15338134765625,199.4499664306641,175.7327880859375,237.1167449951172,192.0997009277344,204.4059295654297,57.88015786099873,50.97188583538678,51.93810427029939,142.62376326592073,131.5054092057274,128.74561167584474,237.1167449951172,192.0997009277344,204.4059295654297,0.2537633678778737,0.2852583845576449,0.3991070036982496,0.00047201903600000295,0.006123481791244054,-1.9784442715525683,0.0014600979049226958,2.2130015692353258,2.835618022200426
P00128,P00128,QCR7,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),"Cytochrome b-c1 complex subunit 7, mitochondrial",QCR7_YEAST,262.8370666503906,208.2852478027344,202.08465576171875,205.60003662109372,146.07525634765625,156.78050231933594,230.8848114013672,259.14190673828125,191.1124267578125,60.359921267956956,37.331323856181214,46.336726149416826,185.67353638042243,155.05539741874367,142.35821519988707,230.8848114013672,259.14190673828125,191.1124267578125,0.21145161359833026,0.22966751497068952,0.29814076315625043,0.004331204530383036,0.006850709890265252,-2.241600525197277,0.006325332486521847,2.164264423332266,2.1989166411771857
P00330,P00330,ADH1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Alcohol dehydrogenase 1,ADH1_YEAST,112830.9140625,129516.0,117513.984375,202727.59375,218852.21875,224584.921875,153075.515625,167321.421875,150542.796875,59516.631410643124,55930.36944844048,66376.42990206568,79706.08976125086,96416.59725755364,82782.53988951018,153075.515625,167321.421875,150542.796875,0.3860864087046154,0.41255186745199707,0.7022779452248674,0.019506210810908895,0.0003518242478130993,-1.3730043265168785,0.022687435732503168,3.453674232165283,1.6442145878593173
P00331,P00331,ADH2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Alcohol dehydrogenase 2,ADH2_YEAST,334.47021484375,285.03155517578125,336.1475830078125,797.6371459960938,847.65576171875,795.9580688476562,408.3400573730469,502.8836059570313,536.481689453125,234.16977994731835,216.62882921093947,235.24666981542,236.27667282774564,212.1882443951132,236.79863164461506,408.3400573730469,502.8836059570313,536.481689453125,0.4738846048021862,0.5002850306547777,1.001140772929621,0.9807787871638706,0.019981837723889066,-1.077392302320131,0.9812374164774846,1.699364572334159,0.008225899662673555
P00358,P00358,TDH2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Glyceraldehyde-3-phosphate dehydrogenase 2,G3P2_YEAST,100964.984375,105037.421875,102931.359375,282278.78125,277691.4375,281402.71875,156641.40625,164214.328125,156609.8125,82871.21584158698,70967.45365778258,83169.01989420378,71323.75177674538,78193.82008318377,72509.83283956451,156641.40625,164214.328125,156609.8125,0.4963869978572961,0.5163171453412259,1.067470431023391,0.35124735901982235,0.00022501070204756864,-1.0104627682435665,0.3570889639453124,3.647796825312321,0.44722357173865396
P00359,P00359,TDH3,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Glyceraldehyde-3-phosphate dehydrogenase 3,G3P3_YEAST,15115.9287109375,14578.1982421875,15445.9716796875,45387.73046875,52699.0,48871.03125,26256.5,25936.49609375,23790.103515625,13324.899560567148,13467.875977672102,14443.910806321963,10678.20446789313,10852.560831540262,10880.890248990632,26256.5,25936.49609375,23790.103515625,0.5427086622756478,0.5599133026576512,1.2722795440964847,0.011942458514496363,0.0012310313262965324,-0.8817501588947512,0.01459217018376069,2.909730895350878,1.8358801139500627
P00360,P00360,TDH1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Glyceraldehyde-3-phosphate dehydrogenase 1,G3P1_YEAST,4456.873046875,4199.43017578125,4680.82421875,15637.0771484375,15446.0576171875,13849.8203125,6942.357421875,6963.01025390625,6659.64013671875,4590.722652837412,3947.429521096391,4093.3363622715897,3148.427238052345,3126.2142744488597,3297.3991960644657,6942.357421875,6963.01025390625,6659.64013671875,0.6142224039675594,0.5688955299383368,1.3196233614951025,0.027504708995332146,0.0013062019473980614,-0.7031669588298309,0.031045278235564827,2.8839896730912615,1.5080044435445565
P00410,P00410,COX2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Cytochrome c oxidase subunit 2,COX2_YEAST,44.23202133178711,55.31081008911133,10.242374420166016,,56.47853469848633,,7.624566555023193,14.476055145263672,20.12073516845703,,14.433782438373864,,31.24641408683515,41.17545400067082,7.2152244135896435,7.624566555023193,14.476055145263672,20.12073516845703,1.0255792453505255,0.35221975632563357,0.5437334030561936,,,0.03643897154194688,,,
P00424,P00424,COX5A,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),"Cytochrome c oxidase subunit 5A, mitochondrial",COX5A_YEAST,119.48939514160156,100.53789520263672,65.87721252441406,,,19.81142807006836,51.92323684692383,47.97457504272461,57.689056396484375,,,5.855298991464,84.40977841762813,74.8442026535313,46.40709786683247,51.92323684692383,47.97457504272461,57.689056396484375,0.11146802500381785,0.07869074471217391,0.08541186823048917,,,-3.165298167558757,,,
P00425,P00425,COX5B,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),"Cytochrome c oxidase subunit 5B, mitochondrial",COX5B_YEAST,245.80079650878903,224.7894287109375,186.797607421875,121.6444320678711,99.4540786743164,85.1975326538086,165.8400421142578,139.29379272460938,125.24280548095705,35.71229102372997,25.416709938695938,25.18026591817242,173.63876303496107,167.3417324174467,131.58927824556142,165.8400421142578,139.29379272460938,125.24280548095705,0.20054356764451634,0.15443282108280265,0.18263814506206796,0.007008319160664247,0.0068261217786277206,-2.318012401864738,0.00929878998092475,2.1658259681355707,2.0315735609941226
P00427,P00427,COX6,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),"Cytochrome c oxidase subunit 6, mitochondrial",COX6_YEAST,652.5504760742188,618.6589965820312,557.17333984375,623.8712158203125,588.50537109375,631.3079223632812,497.5608825683594,571.393798828125,424.3311462402344,183.1556943623385,150.39976754937516,186.58405785001037,460.97514366415317,460.55310010509874,392.49987545141346,497.5608825683594,571.393798828125,424.3311462402344,0.3483187947915499,0.28358341337343707,0.3958359126060504,0.002014920489341358,0.012109669011290491,-1.5215197740700976,0.003555399906759452,1.9168677270910168,2.449111543308043
P00431,P00431,CCP1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),"Cytochrome c peroxidase, mitochondrial",CCPR_YEAST,2924.768310546875,2954.733642578125,3119.090087890625,4643.201171875,4311.208984375,4383.3876953125,2734.399169921875,2699.840576171875,2894.91064453125,1363.1478951638796,1101.7823472056054,1295.5171863827395,2066.116785708028,2199.615210628799,2197.238064840157,2734.399169921875,2699.840576171875,2894.91064453125,0.4514803134044564,0.367826847769499,0.5818450949264342,0.0017062751538404063,0.00015739110803527267,-1.1472650138766365,0.0031785595921998686,3.803019807175801,2.4977696419271034
P00445,P00445,SOD1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Superoxide dismutase [Cu-Zn],SODC_YEAST,14968.244140625,17215.859375,13027.73046875,178607.84375,159943.140625,182961.171875,53881.32421875,50822.23828125,51361.8984375,52435.571334346234,40875.43181876066,54074.46456498997,10573.877034977366,12816.135302217906,9177.364063817056,53881.32421875,50822.23828125,51361.8984375,0.9443823561775834,0.8190227191993905,4.525555448596576,0.00830763950746969,0.5612459127436715,-0.08255700682873247,0.0106880305028451,0.2508468087134899,1.9711023154225709
P00447,P00447,SOD2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),"Superoxide dismutase [Mn], mitochondrial",SODM_YEAST,3375.466552734375,3665.577392578125,3141.7822265625,3164.337890625,3218.284912109375,3344.628173828125,3063.235107421875,3489.882568359375,2873.626953125,928.98420195973,822.4721922067292,988.5101621031364,2384.4993393327904,2728.7941194647665,2213.223505932753,3063.235107421875,3489.882568359375,2873.626953125,0.29065882912195784,0.27218706021359823,0.37397941879609825,0.0056445721312070795,0.004276012052081097,-1.7826013620030963,0.007808963514204686,2.3689610793882037,2.1074066063190835
P00498,P00498,HIS1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),ATP phosphoribosyltransferase,HIS1_YEAST,3400.149169921875,3574.790771484375,3552.02783203125,16612.103515625,17103.34765625,16734.1328125,6865.369140625,7103.91162109375,7145.85009765625,4876.970241723208,4370.970322726879,4945.799496811226,2401.9356502714727,2661.2091331899414,2502.2203719639415,6865.369140625,7103.91162109375,7145.85009765625,0.6722070611728826,0.6523126718637486,1.8761473861023807,0.002507258550667236,0.001712230129169732,-0.5730223974280061,0.004153526650524623,2.7664378651776422,2.381582998599815
P00546,P00546,CDC28,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Cyclin-dependent kinase 1,CDK1_YEAST,1832.2032470703125,1895.2008056640625,1928.09375,1369.7437744140625,1297.60546875,1495.7596435546875,1534.6884765625,1621.9852294921875,1302.12744140625,402.12846135468357,331.6189969652948,442.07413526187537,1294.3062429765257,1410.8589888654924,1358.242583799638,1534.6884765625,1621.9852294921875,1302.12744140625,0.2637080135882321,0.2244264378864293,0.28936834473164463,3.3120656396139504e-05,0.003920387429560323,-1.9229866822425705,0.00035810835295294556,2.406671012008654,3.445985548859463
P00549,P00549,CDC19,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Pyruvate kinase 1,KPYK1_YEAST,96424.5546875,101346.015625,92541.1796875,198851.171875,184211.828125,194850.140625,131408.5,136417.671875,133420.296875,58378.59406871601,47077.59264516878,57588.2681376156,68116.298400749,75445.79798768774,65190.487239853646,131408.5,136417.671875,133420.296875,0.4063448965904461,0.4385308057271219,0.7810416140373192,0.03412341080875039,0.0005920768393686363,-1.2992233197597594,0.03787654341132113,3.2276219271482463,1.421629661291932
P00560,P00560,PGK1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Phosphoglycerate kinase,PGK_YEAST,104512.859375,108019.71875,105772.375,186519.90625,194363.359375,195131.515625,136027.25,134768.453125,124693.65625,54758.38935235702,49671.94099823928,57671.428965189276,73830.04400668385,80413.95440403477,74511.18179010965,136027.25,134768.453125,124693.65625,0.4098764112692143,0.4147342490995871,0.7086255234678119,0.002194117744597357,0.00015389205334483876,-1.286739130833609,0.003785737834327456,3.8127838056239507,2.4218494646055
P00572,P00572,CDC8,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Thymidylate kinase,KTHY_YEAST,661.1264038085938,747.3148193359375,713.9329833984375,1111.276611328125,1126.111328125,1170.6322021484375,827.8541870117188,851.4196166992188,801.3529663085938,326.24784445104444,287.79156538528457,345.9822042294287,467.03335626893147,556.3293489647191,502.9289576976626,827.8541870117188,851.4196166992188,801.3529663085938,0.38700768115075973,0.38612254656229655,0.6289896206482528,0.005852781729515314,2.8015560376907568e-05,-1.3695658942847624,0.008033343059039551,4.552600686201419,2.0951036863583226
P00635,P00635,PHO5,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Repressible acid phosphatase,PPA5_YEAST,1015.9352416992188,1221.7999267578125,1103.8651123046875,2418.791748046875,2563.40234375,2311.49658203125,1368.6185302734375,1330.8709716796875,1194.9578857421875,710.10726396298,655.1089175600863,683.166481369829,717.6776527897413,909.553966054515,777.6160273861145,1368.6185302734375,1330.8709716796875,1194.9578857421875,0.5259751792680152,0.45997680800303653,0.851772321670257,0.16348187752824542,0.004263700441147604,-0.9269333744417212,0.1690524296624848,2.37021331554965,0.7719785830678231
P00724,P00724,SUC2,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Invertase 2,INV2_YEAST,932.9105224609376,905.5125122070312,849.1270751953125,1225.6036376953125,1147.4947509765625,1199.3336181640625,1025.140869140625,959.615478515625,885.8377685546875,359.8118964022642,293.25636143346316,354.4649532597109,659.0272751074029,674.0976806042571,598.1662212159085,1025.140869140625,959.615478515625,885.8377685546875,0.3509842110403749,0.3428354600572856,0.5216889214490648,0.0006377421226282465,0.0007924102963382207,-1.5105219622666175,0.0017447529322843242,3.1010498900065073,2.7582660631130507
P00729,P00729,PRC1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Carboxypeptidase Y,CBPY_YEAST,393.12310791015625,339.3940124511719,391.1305541992188,273.7345886230469,266.1636657714844,269.5875244140625,288.8881530761719,341.8192138671875,392.9908752441406,80.36281748360615,68.02139016628249,79.67702046667704,277.7102887684835,252.657708778296,275.5312984851132,288.8881530761719,341.8192138671875,392.9908752441406,0.2227816935869996,0.22057053706609414,0.2829897348707206,0.00025046408205160145,0.0115026494075848,-2.166297406447869,0.0010172893318965697,1.9392021169879021,2.9925555098350394
