UniProt,domain_start,domain_end,Length,S_over_T_mean,S_over_T_pval,quantile,refoldable,subcellular_localization,average_KD_hydro,A_SASA_count,C_SASA_count,D_SASA_count,E_SASA_count,F_SASA_count,G_SASA_count,H_SASA_count,I_SASA_count,K_SASA_count,L_SASA_count,M_SASA_count,N_SASA_count,P_SASA_count,Q_SASA_count,R_SASA_count,S_SASA_count,T_SASA_count,V_SASA_count,W_SASA_count,Y_SASA_count,fraction DE,fraction KR,fraction AGP,fraction WYF,fraction ILVM,fraction polar,No. of Peptides,No. of Significant Peptides,,,,,,,,,,,,,,,,,
Q03825,490,512,22,0.1919,0.006849,18, nan, nucleus; cytoplasm,3.374,2,0,0,0,0,0,1,0,0,1,5,2,0,7,1,2,1,0,0,1,0,0.043478261,0.086956522,0.043478261,0.260869565,0.565217391,,,,,,,,,,,,,,,,,,,
Q04412,450,477,27,0.2292,2.00E-06,30, nan, cytoplasm,4.135,1,0,0,0,0,0,1,0,4,6,2,2,2,1,0,5,2,0,0,0,0,0.153846154,0.115384615,0,0.307692308,0.423076923,,,,,,,,,,,,,,,,,,,
Q05827,3,58,55,0.4605,0.004737,90, nan, ,5.286,14,0,0,0,2,6,0,2,2,5,0,5,1,2,0,9,1,7,0,0,0,0.035714286,0.375,0.035714286,0.25,0.303571429,1,0,,,,,,,,,,,,,,,,,
Q06554,1181,1204,23,0.2103,0.000211,30, nan, nucleus,4.2,1,0,0,0,0,2,2,2,1,2,0,1,1,1,1,5,1,1,0,0,0,0.095238095,0.19047619,0,0.238095238,0.476190476,,,,,,,,,,,,,,,,,,,
Q07653,184,288,104,0.5014,0.001288,90, nan, cytoplasm,3.208,3,0,1,0,0,8,10,0,7,0,0,5,6,1,0,11,9,5,0,0,0.015151515,0.106060606,0.257575758,0,0.075757576,0.545454545,,,,,,,,,,,,,,,,,,,
Q12511,4,73,69,0.3194,0.002042,66, True, mitochondrion intermembrane space,4.125,4,1,0,1,2,2,2,2,7,8,0,1,0,3,4,12,8,3,0,5,0.015384615,0.169230769,0.092307692,0.107692308,0.2,0.415384615,,,,,,,,,,,,,,,,,,,
P18480,127,261,134,0.2212,0.006594,30, nan, nucleus,2.235,6,0,0,2,1,1,3,4,4,5,0,4,2,75,5,0,3,4,0,0,0.016806723,0.075630252,0.075630252,0.008403361,0.109243697,0.714285714,,,,,,,,,,,,,,,,,,,
P39677,342,444,102,0.3834,0.000394,78, nan, mitochondrion,3.198,2,0,0,1,1,11,2,3,7,0,0,5,4,1,2,5,8,0,0,2,0.018518519,0.166666667,0.314814815,0.055555556,0.055555556,0.388888889,,,,,,,,,,,,,,,,,,,
P35732,667,717,50,0.1872,0.000093,18, False, nucleus; cytoplasm; chromosome; telomere,3.09,9,0,0,1,2,2,0,0,0,0,2,2,5,24,0,0,0,2,0,2,0.019607843,0,0.31372549,0.078431373,0.078431373,0.509803922,,,,,,,,,,,,,,,,,,,
P05747,12,58,46,0.2342,0.032579,42, nan, cytoplasm,3.14,7,0,1,0,1,3,3,1,11,3,0,2,3,0,4,1,3,0,0,2,0.022222222,0.333333333,0.288888889,0.066666667,0.088888889,0.2,,,,,,,,,,,,,,,,,,,
Q02753,28,100,72,0.2072,0.003944,30, False, cytoplasm,3.344,0,1,0,1,0,7,2,1,9,1,2,5,0,2,2,2,3,5,0,2,0.022222222,0.244444444,0.155555556,0.044444444,0.2,0.333333333,6,0,,,,,,,,,,,,,,,,,
Q12672,28,100,72,0.2308,0.000687,42, False, cytoplasm,3.469,1,1,0,1,0,7,2,2,9,1,2,4,0,2,2,2,3,4,0,2,0.022222222,0.244444444,0.177777778,0.044444444,0.2,0.311111111,,,,,,,,,,,,,,,,,,,
P02381,96,247,151,0.2489,0.000449,42, nan, mitochondrion,3.299,0,0,1,1,0,1,0,8,12,7,8,28,0,2,1,5,4,0,0,10,0.022727273,0.147727273,0.011363636,0.113636364,0.261363636,0.443181818,,,,,,,,,,,,,,,,,,,
P52488,372,424,52,0.3803,0.000724,78, True, nucleus,4.319,7,0,1,0,1,1,0,1,3,5,1,6,1,1,1,6,3,2,0,3,0.023255814,0.093023256,0.209302326,0.093023256,0.209302326,0.372093023,,,,,,,,,,,,,,,,,,,
P40007,5,53,48,0.2017,0.000185,30, False, nucleus; nucleolus,2.993,4,0,1,0,0,2,0,2,8,1,2,4,1,3,5,4,2,1,0,2,0.023809524,0.30952381,0.166666667,0.047619048,0.142857143,0.30952381,,,,,,,,,,,,,,,,,,,
Q08960,4,45,41,0.0895,0.001559,6, nan, endoplasmic reticulum,5.648,7,1,0,1,2,8,0,4,0,4,0,1,0,0,2,2,1,5,0,4,0.023809524,0.047619048,0.357142857,0.142857143,0.30952381,0.119047619,,,,,,,,,,,,,,,,,,,
P04449,5,59,54,0.2253,0.001464,30, True, cytoplasm,2.751,2,0,1,0,0,4,2,1,7,1,0,1,1,1,7,4,1,2,1,1,0.027027027,0.378378378,0.189189189,0.054054054,0.108108108,0.243243243,2,2,,,,,,,,,,,,,,,,,
P24000,5,59,54,0.2892,0.000285,54, True, cytoplasm,2.828,2,0,1,0,0,4,2,1,7,1,0,1,1,1,6,4,1,2,1,1,0.027777778,0.361111111,0.194444444,0.055555556,0.111111111,0.25,2,0,,,,,,,,,,,,,,,,,
P43554,234,269,35,0.2206,0.000979,30, nan, nucleus,3.917,2,1,0,1,2,0,0,4,2,2,0,7,1,1,2,7,4,0,0,0,0.027777778,0.111111111,0.083333333,0.055555556,0.166666667,0.555555556,,,,,,,,,,,,,,,,,,,
P53937,3,64,61,0.2079,0.001195,30, nan, mitochondrion,3.206,1,0,0,1,0,6,2,1,7,1,2,0,2,1,1,6,2,0,1,2,0.027777778,0.222222222,0.25,0.083333333,0.111111111,0.305555556,,,,,,,,,,,,,,,,,,,
Q12331,8,46,38,0.3536,0.006088,66, nan, vacuole,4.872,2,0,0,1,2,2,0,2,4,6,1,3,1,0,2,3,1,4,1,1,0.027777778,0.166666667,0.138888889,0.111111111,0.361111111,0.194444444,,,,,,,,,,,,,,,,,,,
P22136,2,72,70,0.3576,0.021721,66, nan, mitochondrion,4.427,1,3,1,1,2,2,3,5,5,6,1,3,3,0,7,8,6,8,0,5,0.028571429,0.171428571,0.085714286,0.1,0.285714286,0.328571429,,,,,,,,,,,,,,,,,,,
P38339,293,328,35,0.2244,9.00E-06,30, True, cytoplasm,3.76,0,0,1,0,1,1,2,2,5,5,1,4,2,1,1,4,1,1,0,3,0.028571429,0.171428571,0.085714286,0.114285714,0.257142857,0.342857143,,,,,,,,,,,,,,,,,,,
P32874,1679,1738,59,0.1835,0.007492,18, nan, mitochondrion,3.647,1,0,1,0,2,4,1,2,6,1,1,2,3,2,1,2,1,2,1,1,0.029411765,0.205882353,0.235294118,0.117647059,0.176470588,0.235294118,,,,,,,,,,,,,,,,,,,
P39529,28,69,41,0.2001,0.011709,30, nan, nucleus,2.926,3,0,0,1,0,3,1,2,4,1,0,3,2,1,7,2,3,1,0,0,0.029411765,0.323529412,0.235294118,0,0.117647059,0.294117647,,,,,,,,,,,,,,,,,,,
P38956,59,168,109,0.0492,0.01518,6, nan, nucleus,3.261,3,0,0,2,0,1,2,5,3,8,0,11,3,16,3,7,1,1,1,0,0.029850746,0.089552239,0.104477612,0.014925373,0.208955224,0.552238806,,,,,,,,,,,,,,,,,,,
P40002,148,226,78,0.322,0.046276,66, nan, nucleus; cytoplasm,3.948,1,1,1,1,2,2,1,5,9,5,1,6,7,2,3,8,5,5,0,2,0.029850746,0.179104478,0.149253731,0.059701493,0.23880597,0.343283582,,,,,,,,,,,,,,,,,,,
P30620,616,660,44,0.08,NaN,6, nan, nucleus,3.821,2,1,0,1,1,1,0,1,5,4,0,5,0,1,2,1,3,2,2,1,0.03030303,0.212121212,0.090909091,0.121212121,0.212121212,0.333333333,,,,,,,,,,,,,,,,,,,
Q03825,292,422,130,0.1919,0.006849,18, nan, nucleus; cytoplasm,2.87,4,0,3,1,8,3,5,2,1,4,6,7,10,55,2,11,4,3,0,2,0.030534351,0.022900763,0.129770992,0.076335878,0.114503817,0.625954198,,,,,,,,,,,,,,,,,,,
P35197,284,315,31,0.2358,1.00E-06,42, False, cytoplasm; perinuclear region; golgi apparatus; cytoplasm; mitochondrion,3.65,4,0,0,1,6,3,0,0,3,0,0,3,0,4,1,3,3,0,0,1,0.03125,0.125,0.21875,0.21875,0,0.40625,,,,,,,,,,,,,,,,,,,
P39113,276,322,46,0.8455,0.73097,90, nan, nucleus,4.288,1,0,0,1,3,1,0,3,1,5,0,2,4,3,3,2,2,0,0,1,0.03125,0.125,0.1875,0.125,0.25,0.28125,,,,,,,,,,,,,,,,,,,
P32327,482,512,30,0.3751,0.000488,78, True, cytoplasm,4.319,2,0,1,0,0,3,1,2,4,6,0,2,2,2,0,4,0,1,0,1,0.032258065,0.129032258,0.225806452,0.032258065,0.290322581,0.290322581,2,0,,,,,,,,,,,,,,,,,
P53165,448,573,125,0.2073,0.000724,30, nan, nucleus,3.133,12,0,1,3,3,4,4,2,5,10,2,6,5,44,3,11,6,2,0,1,0.032258065,0.064516129,0.169354839,0.032258065,0.129032258,0.572580645,,,,,,,,,,,,,,,,,,,
P11154,481,511,30,0.3885,0.000387,78, True, cytoplasm,4.187,2,0,1,0,0,3,1,2,4,5,0,2,2,2,0,4,0,1,0,1,0.033333333,0.133333333,0.233333333,0.033333333,0.266666667,0.3,,,,,,,,,,,,,,,,,,,
P39081,396,428,32,0.17,0.001707,18, nan, nucleus,4.29,0,1,0,1,1,2,1,2,3,5,0,3,2,2,1,2,1,2,0,1,0.033333333,0.133333333,0.133333333,0.066666667,0.3,0.333333333,,,,,,,,,,,,,,,,,,,
P02381,2,59,57,0.2489,0.000449,42, nan, mitochondrion,4.017,0,0,2,0,0,0,0,4,8,12,9,18,0,0,1,2,2,0,0,0,0.034482759,0.155172414,0,0,0.431034483,0.379310345,,,,,,,,,,,,,,,,,,,
P12754,116,144,28,0.2704,0.000021,54, True, cytoplasm; cytosol,4.817,5,0,0,1,0,1,0,2,1,3,1,0,2,0,3,4,4,2,0,0,0.034482759,0.137931034,0.275862069,0,0.275862069,0.275862069,,,,,,,,,,,,,,,,,,,
P19263,93,165,72,0.2248,0.000118,30, False, nucleus,4.486,3,0,1,1,2,0,2,6,6,7,2,5,1,4,4,1,5,6,1,1,0.034482759,0.172413793,0.068965517,0.068965517,0.362068966,0.293103448,,,,,,,,,,,,,,,,,,,
P32478,27,55,28,0.1907,0.000995,18, nan, secreted; cell wall,4.755,3,0,1,0,1,3,0,2,0,1,0,0,2,1,0,3,8,2,0,2,0.034482759,0,0.275862069,0.103448276,0.172413793,0.413793103,,,,,,,,,,,,,,,,,,,
P41921,23,61,38,0.4182,8.00E-06,78, False, cytoplasm,4.61,5,1,1,0,0,7,0,1,2,2,0,0,0,0,2,3,1,2,0,2,0.034482759,0.137931034,0.413793103,0.068965517,0.172413793,0.172413793,2,0,,,,,,,,,,,,,,,,,
P47107,400,433,33,0.3481,0.008084,66, nan, ,4.59,0,4,1,0,1,5,1,1,2,5,0,1,0,1,1,3,1,0,0,2,0.034482759,0.103448276,0.172413793,0.103448276,0.206896552,0.379310345,,,,,,,,,,,,,,,,,,,
P53971,489,524,35,0.1673,0.00108,18, False, nucleus; cytoplasm,3.99,1,3,1,0,0,3,1,1,2,0,0,3,5,0,2,1,2,4,0,0,0.034482759,0.137931034,0.310344828,0,0.172413793,0.344827586,,,,,,,,,,,,,,,,,,,
P02381,256,318,62,0.2489,0.000449,42, nan, mitochondrion,3.021,0,0,2,0,0,1,0,7,1,3,3,32,1,0,0,1,1,0,0,5,0.035087719,0.01754386,0.035087719,0.087719298,0.228070175,0.596491228,,,,,,,,,,,,,,,,,,,
P36533,9,51,42,0.1095,0.001336,6, nan, mitochondrion,3.746,4,0,0,1,0,2,1,0,5,2,0,0,2,0,3,1,2,3,0,2,0.035714286,0.285714286,0.285714286,0.071428571,0.178571429,0.142857143,,,,,,,,,,,,,,,,,,,
P38694,9,67,58,0.1482,0.000391,6, nan, endoplasmic reticulum,4.662,3,0,1,1,2,1,1,8,3,6,2,5,1,6,1,4,5,3,1,2,0.035714286,0.071428571,0.089285714,0.089285714,0.339285714,0.375,,,,,,,,,,,,,,,,,,,
P40468,2332,2360,28,0.1047,0.001032,6, False, ,4.018,1,0,1,0,1,0,1,1,3,4,0,2,1,1,2,5,2,2,0,1,0.035714286,0.178571429,0.071428571,0.071428571,0.25,0.392857143,,,,,,,,,,,,,,,,,,,
Q01802,32,65,33,0.0955,0.000382,6, nan, mitochondrion matrix,4.45,0,0,0,1,1,4,1,2,4,2,0,2,1,0,0,1,3,4,1,1,0.035714286,0.142857143,0.178571429,0.107142857,0.285714286,0.25,,,,,,,,,,,,,,,,,,,
P00890,427,453,26,0.3444,0.000093,66, False, mitochondrion matrix,5.719,4,0,1,0,2,3,0,3,0,3,0,0,1,1,2,1,1,4,0,1,0.037037037,0.074074074,0.296296296,0.111111111,0.37037037,0.111111111,2,0,,,,,,,,,,,,,,,,,
P23542,17,50,33,0.2932,0.000047,54, False, cytoplasm; peroxisome,3.926,2,0,1,0,1,5,0,1,2,2,0,1,2,3,2,0,1,2,1,1,0.037037037,0.148148148,0.333333333,0.111111111,0.185185185,0.185185185,4,0,,,,,,,,,,,,,,,,,
P47042,588,666,78,0.4023,0.031289,78, nan, ,4.841,4,2,1,1,3,3,0,7,7,5,2,2,1,2,2,1,3,3,1,4,0.037037037,0.166666667,0.148148148,0.148148148,0.314814815,0.185185185,,,,,,,,,,,,,,,,,,,
P49095,133,160,27,0.3421,0.000013,66, True, mitochondrion,4.267,0,0,0,1,1,3,1,3,3,3,0,3,2,0,1,0,1,2,0,3,0.037037037,0.148148148,0.185185185,0.148148148,0.296296296,0.185185185,,,,,,,,,,,,,,,,,,,
P25443,142,229,87,0.1805,0.003052,18, False, nucleus; nucleolus; cytoplasm,3.73,3,0,0,2,2,10,0,0,5,5,0,4,3,3,2,4,4,2,2,2,0.037735849,0.132075472,0.301886792,0.113207547,0.132075472,0.283018868,18,0,,,,,,,,,,,,,,,,,
Q00539,56,142,86,0.169,0.000023,18, nan, ,2.951,4,0,2,0,0,6,1,0,3,3,2,13,4,2,3,6,3,0,1,0,0.037735849,0.113207547,0.264150943,0.018867925,0.094339623,0.471698113,,,,,,,,,,,,,,,,,,,
P54780,4,195,191,0.1816,0.006552,18, True, cytoplasm,2.432,9,0,1,3,1,12,1,0,15,2,0,11,5,8,21,4,3,4,2,3,0.038095238,0.342857143,0.247619048,0.057142857,0.057142857,0.257142857,3,1,,,,,,,,,,,,,,,,,
P32349,451,481,30,0.2799,0.000162,54, True, nucleus; cytoplasm,4.381,1,0,0,1,2,1,1,2,3,2,0,2,2,0,0,4,1,2,0,2,0.038461538,0.115384615,0.153846154,0.153846154,0.230769231,0.307692308,,,,,,,,,,,,,,,,,,,
P48561,160,190,30,0.0785,2.00E-06,6, nan, nucleus; nucleolus,3.923,1,1,0,1,1,0,2,4,3,1,0,1,1,1,3,3,1,1,0,1,0.038461538,0.230769231,0.076923077,0.076923077,0.230769231,0.346153846,,,,,,,,,,,,,,,,,,,
Q06821,12,41,29,0.2071,0.000056,30, nan, ,5.15,1,0,0,1,0,3,2,1,0,4,0,1,1,0,1,1,4,5,0,1,0.038461538,0.038461538,0.192307692,0.038461538,0.384615385,0.307692308,,,,,,,,,,,,,,,,,,,
P39940,315,446,131,0.2028,4.00E-06,30, True, nucleus; cytoplasm; cytoskeleton; actin patch; cytoplasm,3.295,8,0,1,2,3,9,1,2,3,1,0,4,6,7,7,6,11,0,1,4,0.039473684,0.131578947,0.302631579,0.105263158,0.039473684,0.381578947,,,,,,,,,,,,,,,,,,,
P43570,411,492,81,0.1382,0.007047,6, nan, ,4.63,2,0,3,0,1,3,5,9,3,13,1,4,2,2,7,8,3,5,2,3,0.039473684,0.131578947,0.092105263,0.078947368,0.368421053,0.289473684,,,,,,,,,,,,,,,,,,,
P21375,38,69,31,0.2518,0.000012,42, nan, mitochondrion,4.672,3,0,1,0,0,3,0,4,2,2,0,1,1,0,2,2,2,1,0,1,0.04,0.16,0.28,0.04,0.28,0.2,,,,,,,,,,,,,,,,,,,
P32330,582,606,24,0.1221,0.002247,6, nan, ,4.612,4,1,1,0,1,0,3,3,1,0,0,2,2,0,0,3,1,2,0,1,0.04,0.04,0.24,0.08,0.2,0.4,,,,,,,,,,,,,,,,,,,
P32190,388,461,73,0.3133,0.018558,66, nan, ,4.043,5,0,0,2,2,9,2,1,5,4,0,0,3,4,0,2,3,2,1,4,0.040816327,0.102040816,0.346938776,0.142857143,0.142857143,0.224489796,,,,,,,,,,,,,,,,,,,
Q04867,120,195,75,0.1291,0.000617,6, nan, nucleus,3.049,3,0,0,2,1,5,1,2,10,3,1,2,3,6,4,3,2,1,0,0,0.040816327,0.285714286,0.224489796,0.020408163,0.142857143,0.285714286,,,,,,,,,,,,,,,,,,,
O14464,58,92,34,0.2157,0.000032,30, nan, mitochondrion,2.046,0,0,1,0,1,2,0,0,7,1,0,1,0,1,5,3,1,0,0,1,0.041666667,0.5,0.083333333,0.083333333,0.041666667,0.25,,,,,,,,,,,,,,,,,,,
P33322,25,48,23,0.1269,2.00E-06,6, False, nucleus; nucleolus; chromosome; centromere; cytoplasm; cytoskeleton,4.333,1,0,1,0,1,2,1,1,2,4,0,1,3,0,1,3,1,1,0,1,0.041666667,0.125,0.25,0.083333333,0.25,0.25,4,4,,,,,,,,,,,,,,,,,
Q04739,353,415,62,0.3542,0.000732,66, False, nucleus; cytoplasm,3.833,3,0,1,1,0,1,3,3,3,6,0,7,2,3,1,5,4,2,0,3,0.041666667,0.083333333,0.125,0.0625,0.229166667,0.458333333,,,,,,,,,,,,,,,,,,,
P38694,585,643,58,0.1482,0.000391,6, nan, endoplasmic reticulum,4.166,4,1,2,0,4,1,0,4,5,2,0,4,2,2,2,5,3,2,2,2,0.042553191,0.14893617,0.14893617,0.170212766,0.170212766,0.319148936,,,,,,,,,,,,,,,,,,,
P25087,284,354,70,0.1251,0.000025,6, False, mitochondrion; microsome,4.58,7,0,0,2,2,7,0,0,5,7,1,2,2,2,1,1,1,3,2,1,0.043478261,0.130434783,0.347826087,0.108695652,0.239130435,0.130434783,,,,,,,,,,,,,,,,,,,
P50102,146,264,118,0.2054,0.000169,30, nan, nucleus,3.013,3,1,1,2,0,2,5,3,5,2,1,8,2,8,4,11,3,2,2,4,0.043478261,0.130434783,0.101449275,0.086956522,0.115942029,0.52173913,,,,,,,,,,,,,,,,,,,
P20424,481,525,44,0.2175,0.000249,30, True, cytoplasm; endoplasmic reticulum,4.009,1,0,1,1,1,10,0,0,3,2,14,4,2,6,0,0,0,0,0,0,0.044444444,0.066666667,0.288888889,0.022222222,0.355555556,0.222222222,,,,,,,,,,,,,,,,,,,
Q12523,468,521,53,0.3063,0.000021,66, nan, nucleus; cytoplasm,3.649,2,1,0,2,1,3,0,2,5,3,2,7,2,3,3,2,3,3,1,0,0.044444444,0.177777778,0.155555556,0.044444444,0.222222222,0.355555556,,,,,,,,,,,,,,,,,,,
P35999,6,77,71,0.2224,0.003466,30, nan, mitochondrion matrix,3.693,6,0,3,0,5,5,0,3,8,5,0,8,3,3,4,9,3,1,0,1,0.044776119,0.179104478,0.208955224,0.089552239,0.134328358,0.343283582,,,,,,,,,,,,,,,,,,,
P38682,13,138,125,0.2383,0.00002,42, False, golgi apparatus,2.991,2,1,2,1,1,7,3,3,13,3,1,9,1,6,2,1,7,2,0,1,0.045454545,0.227272727,0.151515152,0.03030303,0.136363636,0.409090909,,,,,,,,,,,,,,,,,,,
P53617,171,222,51,0.2163,0,30, True, nucleus,3.742,4,0,2,0,2,0,0,2,6,6,0,3,3,6,1,4,4,0,0,0,0.046511628,0.162790698,0.162790698,0.046511628,0.186046512,0.395348837,,,,,,,,,,,,,,,,,,,
P05748,4,195,191,0.1654,0.00275,18, False, cytoplasm,2.445,9,0,2,3,1,12,2,0,15,2,0,10,5,8,20,4,3,4,2,3,0.047619048,0.333333333,0.247619048,0.057142857,0.057142857,0.257142857,24,4,,,,,,,,,,,,,,,,,
P06786,977,1000,23,0.1836,0.000569,18, nan, nucleus,4.057,0,0,0,1,2,1,1,2,3,1,0,2,1,0,1,2,0,2,0,2,0.047619048,0.19047619,0.095238095,0.19047619,0.238095238,0.238095238,,,,,,,,,,,,,,,,,,,
P08518,748,775,27,0.2589,8.00E-06,42, False, nucleus,3.733,1,0,1,0,1,2,1,1,1,1,1,1,1,3,1,2,1,1,0,1,0.047619048,0.095238095,0.19047619,0.095238095,0.19047619,0.380952381,,,,,,,,,,,,,,,,,,,
P19659,165,360,195,0.232,4.00E-06,42, nan, nucleus,2.838,10,0,1,6,2,3,0,3,10,9,2,28,13,35,5,8,6,5,0,1,0.047619048,0.102040816,0.176870748,0.020408163,0.129251701,0.523809524,,,,,,,,,,,,,,,,,,,
P26637,215,240,25,0.423,0.000357,78, False, cytoplasm,3.862,3,0,1,0,2,0,0,0,2,1,1,1,1,0,3,1,2,1,1,1,0.047619048,0.238095238,0.19047619,0.19047619,0.142857143,0.19047619,4,0,,,,,,,,,,,,,,,,,
P36165,2,22,20,0.14,0.002015,6, nan, lipid droplet,4.357,0,0,1,0,0,0,0,2,2,4,0,1,1,3,0,3,3,1,0,0,0.047619048,0.095238095,0.047619048,0,0.333333333,0.476190476,,,,,,,,,,,,,,,,,,,
P38840,12,33,21,0.3503,0.000261,66, False, cytoplasm,3.348,0,0,0,1,3,0,0,0,3,3,0,2,1,1,3,4,0,0,0,0,0.047619048,0.285714286,0.047619048,0.142857143,0.142857143,0.333333333,,,,,,,,,,,,,,,,,,,
P38989,704,725,21,0.2266,0.000773,30, nan, cytoplasm; nucleus; chromosome,3.543,1,0,1,0,0,0,1,1,2,3,0,1,0,4,0,3,3,0,0,1,0.047619048,0.095238095,0.047619048,0.047619048,0.19047619,0.571428571,,,,,,,,,,,,,,,,,,,
P50875,390,479,89,0.2021,0.01886,30, nan, nucleus,4.26,15,0,1,3,3,5,0,3,2,5,4,13,0,3,4,14,5,4,0,0,0.047619048,0.071428571,0.238095238,0.035714286,0.19047619,0.416666667,,,,,,,,,,,,,,,,,,,
P53753,181,222,41,0.4082,0.00249,78, nan, secreted; cell wall,4.307,0,0,1,1,0,3,0,3,2,5,1,2,3,3,0,8,7,2,0,1,0.047619048,0.047619048,0.142857143,0.023809524,0.261904762,0.476190476,,,,,,,,,,,,,,,,,,,
Q02486,22,42,20,0.2127,0,30, False, nucleus; mitochondrion,3.633,1,0,0,1,0,1,0,1,3,4,0,1,1,2,2,2,2,0,0,0,0.047619048,0.238095238,0.142857143,0,0.238095238,0.333333333,,,,,,,,,,,,,,,,,,,
P42843,696,760,64,0.2125,0.000292,30, nan, cytoplasm,3.583,1,1,1,1,4,2,0,1,5,4,0,4,2,0,7,2,2,2,1,1,0.048780488,0.292682927,0.12195122,0.146341463,0.170731707,0.219512195,,,,,,,,,,,,,,,,,,,
P04807,458,477,19,0.3875,0.000381,78, False, ,5.09,7,0,0,1,0,4,0,2,1,1,0,0,0,1,1,1,0,1,0,0,0.05,0.1,0.55,0,0.2,0.1,2,0,,,,,,,,,,,,,,,,,
P09436,163,182,19,0.3852,0.000211,78, False, cytoplasm,3.7,0,0,0,1,1,3,1,0,2,1,1,0,1,2,1,1,1,2,0,2,0.05,0.15,0.2,0.15,0.2,0.25,,,,,,,,,,,,,,,,,,,
