UniProt,domain_start,domain_end,Length,S_over_T_mean,S_over_T_pval,quantile,refoldable,subcellular_localization,average_KD_hydro,A_SASA_count,C_SASA_count,D_SASA_count,E_SASA_count,F_SASA_count,G_SASA_count,H_SASA_count,I_SASA_count,K_SASA_count,L_SASA_count,M_SASA_count,N_SASA_count,P_SASA_count,Q_SASA_count,R_SASA_count,S_SASA_count,T_SASA_count,V_SASA_count,W_SASA_count,Y_SASA_count,fraction DE,fraction KR,fraction AGP,fraction WYF,fraction ILVM,fraction polar,No. of Peptides,No. of Significant Peptides,,,,,,,,,,,
P40492,346,387,41,0.2576,0.001368,42, nan, nucleus; cytoplasm,4.516,0,0,5,0,1,2,0,2,0,9,1,3,1,2,1,6,0,1,1,3,0.131578947,0.026315789,0.078947368,0.131578947,0.342105263,0.289473684,,,,,,,,,,,,,
P47032,166,295,129,0.4729,0.160644,90, nan, secreted,3.534,7,0,10,3,2,14,1,1,2,3,0,5,5,0,0,9,5,0,2,2,0.183098592,0.028169014,0.366197183,0.084507042,0.056338028,0.281690141,,,,,,,,,,,,,
Q04739,324,401,77,0.3542,0.000732,66, False, nucleus; cytoplasm,3.537,4,1,2,2,0,1,5,2,1,7,1,10,5,7,1,6,6,2,1,3,0.059701493,0.029850746,0.149253731,0.059701493,0.179104478,0.52238806,,,,,,,,,,,,,
P36110,192,325,133,0.4286,0.063055,78, nan, secreted,3.62,5,0,6,3,1,17,1,1,2,2,0,5,2,0,0,10,8,1,0,2,0.136363636,0.03030303,0.363636364,0.045454545,0.060606061,0.363636364,,,,,,,,,,,,,
P07250,317,351,34,0.5402,0.00605,90, nan, nucleus,4.6,1,0,3,4,2,3,1,3,1,4,1,1,1,0,0,4,1,2,0,1,0.212121212,0.03030303,0.151515152,0.090909091,0.303030303,0.212121212,,,,,,,,,,,,,
P30620,128,166,38,0.08,NaN,6, nan, nucleus,4.218,0,2,1,7,0,0,1,2,1,3,0,2,1,2,0,2,3,5,0,1,0.242424242,0.03030303,0.03030303,0.03030303,0.303030303,0.363636364,,,,,,,,,,,,,
P25361,12,90,78,0.0557,0.001184,6, nan, ,4.583,1,4,7,3,4,6,3,6,1,5,1,2,1,1,1,3,4,4,2,6,0.153846154,0.030769231,0.123076923,0.184615385,0.246153846,0.261538462,,,,,,,,,,,,,
P32769,21,74,53,0.3232,0.000035,66, True, cytoplasm,2.394,2,0,9,3,0,1,0,0,1,2,0,4,1,3,0,2,1,0,0,3,0.375,0.03125,0.125,0.09375,0.0625,0.3125,,,,,,,,,,,,,
P54785,5,35,30,0.1699,0.009537,18, nan, nucleus,1.271,0,0,0,0,0,0,7,0,0,1,0,0,0,22,1,0,0,0,0,0,0,0.032258065,0,0,0.032258065,0.935483871,,,,,,,,,,,,,
Q07381,343,374,31,0.2927,0.000127,54, False, nucleus; nucleolus; cytoplasm,2.858,2,0,8,5,0,2,0,0,0,2,0,0,1,0,1,1,4,0,1,4,0.419354839,0.032258065,0.161290323,0.161290323,0.064516129,0.161290323,1,0,,,,,,,,,,,
P35192,249,288,39,0.3123,0.002402,66, nan, nucleus,4.353,0,2,1,6,1,1,1,2,1,3,0,1,1,1,0,4,2,3,0,0,0.233333333,0.033333333,0.066666667,0.033333333,0.266666667,0.366666667,,,,,,,,,,,,,
P53753,400,1115,715,0.4082,0.00249,78, nan, secreted; cell wall,3.088,8,0,23,24,1,36,0,2,5,3,0,14,4,13,2,46,17,7,0,4,0.224880383,0.033492823,0.229665072,0.023923445,0.057416268,0.43062201,,,,,,,,,,,,,
P18480,18,55,37,0.2212,0.006594,30, nan, nucleus,3.062,1,0,0,0,1,1,0,0,0,3,1,2,3,11,1,3,1,0,0,1,0,0.034482759,0.172413793,0.068965517,0.137931034,0.586206897,,,,,,,,,,,,,
P38759,241,274,33,0.2749,8.00E-06,54, True, ,4.372,0,2,2,1,1,3,0,2,1,3,0,4,1,1,0,2,2,2,0,2,0.103448276,0.034482759,0.137931034,0.103448276,0.24137931,0.379310345,,,,,,,,,,,,,
P48581,301,329,28,0.3543,0.00566,66, nan, nucleus,4.779,2,1,1,7,0,1,0,4,1,3,2,0,1,1,0,1,2,2,0,0,0.275862069,0.034482759,0.137931034,0,0.379310345,0.172413793,,,,,,,,,,,,,
P53616,149,418,269,0.2381,0.000034,42, nan, secreted; cell wall,2.975,5,0,18,9,0,32,0,0,4,1,0,6,2,3,0,18,10,0,1,4,0.238938053,0.03539823,0.345132743,0.044247788,0.008849558,0.327433628,,,,,,,,,,,,,
P38746,8,36,28,0.3241,0.001639,66, nan, mitochondrion,5.082,2,0,0,0,2,4,0,3,0,3,0,3,1,1,1,3,3,2,0,0,0,0.035714286,0.25,0.071428571,0.285714286,0.357142857,,,,,,,,,,,,,
Q06631,465,493,28,0.1975,0.003393,18, False, nucleus; nucleolus,3.625,2,0,4,2,2,1,0,2,1,0,0,1,2,2,0,3,1,1,1,3,0.214285714,0.035714286,0.178571429,0.214285714,0.107142857,0.25,,,,,,,,,,,,,
P40513,148,181,33,0.2003,0.005526,30, False, mitochondrion matrix,4.4,3,0,0,4,2,1,0,1,1,2,0,3,1,1,0,4,0,3,0,1,0.148148148,0.037037037,0.185185185,0.111111111,0.222222222,0.296296296,,,,,,,,,,,,,
P53137,320,360,40,0.1301,0.006665,6, nan, cytoplasm,3.715,2,0,2,3,1,0,0,1,1,4,1,3,2,3,0,2,1,0,0,1,0.185185185,0.037037037,0.148148148,0.074074074,0.222222222,0.333333333,,,,,,,,,,,,,
P05319,7,41,34,0.2063,0.009097,30, False, cytoplasm,4.256,4,0,2,4,0,2,0,1,1,3,0,2,1,0,0,3,2,2,0,0,0.222222222,0.037037037,0.259259259,0,0.222222222,0.259259259,11,1,,,,,,,,,,,
Q12236,774,802,28,0.1862,0.007527,18, nan, cytoplasm; cell cortex; nucleus,4.004,0,0,5,3,0,2,0,3,1,5,0,1,0,1,0,2,1,0,0,3,0.296296296,0.037037037,0.074074074,0.111111111,0.296296296,0.185185185,,,,,,,,,,,,,
P10622,5,41,36,0.1903,0.018869,18, False, cytoplasm,4.646,5,0,4,1,2,2,0,3,1,1,0,2,0,0,0,1,2,1,1,0,0.192307692,0.038461538,0.269230769,0.115384615,0.192307692,0.192307692,5,0,,,,,,,,,,,
P31380,282,321,39,0.2474,0.000019,42, False, nucleus; chromosome,3.988,1,0,5,0,1,0,2,0,1,3,1,1,1,2,0,4,1,3,0,0,0.192307692,0.038461538,0.076923077,0.038461538,0.269230769,0.384615385,,,,,,,,,,,,,
P38163,977,1002,25,0.1636,0.001952,6, nan, ,3.477,2,0,3,3,0,2,0,1,0,0,4,2,0,1,1,0,6,0,0,1,0.230769231,0.038461538,0.153846154,0.038461538,0.192307692,0.346153846,,,,,,,,,,,,,
P02400,7,42,35,0.3564,0.02389,66, False, cytoplasm,4.604,6,0,1,4,0,3,0,0,0,4,0,1,0,1,1,2,0,2,0,0,0.2,0.04,0.36,0,0.24,0.16,12,0,,,,,,,,,,,
P53107,379,412,33,0.5511,0.000179,90, nan, nucleus; cytoplasm,3.964,0,0,2,3,0,0,0,3,1,4,0,2,0,2,0,5,2,0,0,1,0.2,0.04,0,0.04,0.28,0.44,,,,,,,,,,,,,
Q06675,36,63,27,0.2718,0.00017,54, nan, chromosome; centromere; kinetochore; nucleus,3.368,1,0,2,4,4,0,0,1,1,2,0,4,2,3,0,1,0,0,0,0,0.24,0.04,0.12,0.16,0.12,0.32,,,,,,,,,,,,,
Q12098,559,583,24,0.1349,0.023923,6, nan, cytoplasm; nucleus,3.384,2,1,4,6,2,0,0,2,0,0,0,1,0,2,1,1,1,1,0,1,0.4,0.04,0.08,0.12,0.12,0.24,,,,,,,,,,,,,
P47001,135,221,86,0.3079,0.001569,66, False, secreted; cell wall,4.008,8,0,3,4,1,8,1,1,2,4,0,3,2,3,0,4,1,2,0,2,0.142857143,0.040816327,0.367346939,0.06122449,0.142857143,0.244897959,1,1,,,,,,,,,,,
P19659,667,690,23,0.232,4.00E-06,42, nan, nucleus,1.817,0,0,0,0,0,0,0,0,1,2,1,0,0,20,0,0,0,0,0,0,0,0.041666667,0,0,0.125,0.833333333,,,,,,,,,,,,,
P40095,494,517,23,0.1176,0.11757,6, nan, ,4.283,2,2,3,0,3,0,0,1,0,1,0,4,0,0,1,1,2,1,1,2,0.125,0.041666667,0.083333333,0.25,0.125,0.375,,,,,,,,,,,,,
P14741,272,303,31,0.2719,2.00E-06,54, True, cytoplasm; cytosol,4.229,1,0,2,2,0,1,0,2,1,2,1,0,0,1,0,2,4,1,1,3,0.166666667,0.041666667,0.083333333,0.166666667,0.25,0.291666667,1,0,,,,,,,,,,,
P50089,14,41,27,0.195,0.000021,18, False, ,3.633,1,0,4,0,1,1,3,2,1,3,0,3,1,1,0,2,1,0,0,0,0.166666667,0.041666667,0.125,0.041666667,0.208333333,0.416666667,,,,,,,,,,,,,
P37262,6,29,23,0.3493,0.00055,66, True, cytoplasm,4.642,5,0,3,2,3,0,3,1,1,0,0,0,0,1,0,1,0,4,0,0,0.208333333,0.041666667,0.208333333,0.125,0.208333333,0.208333333,,,,,,,,,,,,,
Q12421,89,112,23,0.2473,0.001279,42, nan, preautophagosomal structure; cytoplasm; cytoskeleton,3.946,0,0,3,3,0,1,1,2,0,5,0,0,0,2,1,4,1,0,0,1,0.25,0.041666667,0.041666667,0.041666667,0.291666667,0.333333333,,,,,,,,,,,,,
Q06412,299,398,99,0.2556,0.020157,42, nan, ,3.515,1,1,8,7,3,3,0,4,1,2,0,4,1,3,1,3,3,2,0,1,0.3125,0.041666667,0.104166667,0.083333333,0.166666667,0.291666667,,,,,,,,,,,,,
P38288,222,444,222,0.3926,0.001554,78, True, secreted; secreted; cell wall,3.389,9,1,16,8,1,28,0,2,4,2,0,5,2,4,1,17,10,2,2,4,0.203389831,0.042372881,0.330508475,0.059322034,0.050847458,0.313559322,,,,,,,,,,,,,
P21304,112,255,143,0.1671,0.000202,18, True, ,3.568,7,1,12,14,4,8,2,3,3,5,1,3,8,5,1,5,1,5,1,4,0.279569892,0.043010753,0.247311828,0.096774194,0.150537634,0.182795699,1,1,,,,,,,,,,,
P33759,68,96,28,0.2433,0.00132,42, nan, mitochondrion,2.865,1,0,2,2,1,1,1,0,0,1,0,3,2,3,1,1,0,1,2,1,0.173913043,0.043478261,0.173913043,0.173913043,0.086956522,0.347826087,,,,,,,,,,,,,
P41895,344,395,51,0.3166,0.000088,66, False, nucleus,3.878,2,0,6,5,3,4,0,1,2,2,2,2,2,0,0,4,3,3,2,3,0.239130435,0.043478261,0.173913043,0.173913043,0.173913043,0.195652174,,,,,,,,,,,,,
P34216,14,95,81,0.2902,3.00E-06,54, False, cytoplasm,3.133,7,0,2,3,1,5,1,1,0,1,0,4,4,8,2,3,2,0,0,1,0.111111111,0.044444444,0.355555556,0.044444444,0.044444444,0.4,1,0,,,,,,,,,,,
Q06205,118,165,47,0.0951,0.001412,6, False, nucleus,4.264,2,1,2,4,2,3,1,2,2,3,0,1,2,4,0,3,5,5,0,3,0.133333333,0.044444444,0.155555556,0.111111111,0.222222222,0.333333333,,,,,,,,,,,,,
P35207,134,158,24,0.2414,5.00E-06,42, False, cytoplasm,4.423,1,0,0,0,1,1,1,2,0,2,0,3,2,0,1,4,3,1,0,0,0,0.045454545,0.181818182,0.045454545,0.227272727,0.5,,,,,,,,,,,,,
P53753,170,214,44,0.4082,0.00249,78, nan, secreted; cell wall,4.441,0,0,1,1,1,3,0,3,2,5,1,1,2,3,0,11,7,2,0,1,0.045454545,0.045454545,0.113636364,0.045454545,0.25,0.5,,,,,,,,,,,,,
P34216,1346,1376,30,0.2902,3.00E-06,54, False, cytoplasm,2.75,1,0,1,7,1,2,1,0,1,1,1,3,0,0,0,1,1,0,1,0,0.363636364,0.045454545,0.136363636,0.090909091,0.090909091,0.272727273,1,1,,,,,,,,,,,
P38861,445,495,50,0.2443,0.001189,42, False, nucleus; nucleoplasm; cytoplasm,2.582,3,0,6,13,1,0,1,1,1,2,1,4,3,3,1,1,0,1,0,2,0.431818182,0.045454545,0.136363636,0.068181818,0.113636364,0.204545455,2,1,,,,,,,,,,,
Q03177,569,613,44,0.147,0.002082,6, nan, ,4.726,3,1,1,3,3,0,2,4,2,4,0,3,3,0,0,6,4,3,0,1,0.093023256,0.046511628,0.139534884,0.093023256,0.255813953,0.372093023,,,,,,,,,,,,,
P50106,36,92,56,0.373,0.001032,78, True, nucleus; nucleolus,3.888,5,0,4,2,1,1,0,4,1,2,1,6,0,3,1,8,3,1,0,0,0.139534884,0.046511628,0.139534884,0.023255814,0.186046512,0.465116279,,,,,,,,,,,,,
P27637,263,331,68,0.2452,0.001232,42, False, ,3.7,3,1,5,3,2,4,1,3,1,4,0,5,1,3,1,2,1,0,1,2,0.186046512,0.046511628,0.186046512,0.11627907,0.162790698,0.302325581,1,1,,,,,,,,,,,
P32330,582,626,44,0.1221,0.002247,6, nan, ,4.552,4,1,1,2,2,0,3,4,2,4,1,4,2,1,0,5,2,2,0,2,0.071428571,0.047619048,0.142857143,0.095238095,0.261904762,0.380952381,,,,,,,,,,,,,
Q06162,118,142,24,0.6464,0.18358,90, nan, chromosome; centromere; kinetochore; nucleus,4.395,2,0,1,2,0,2,0,3,0,2,0,2,2,1,1,2,0,1,0,0,0.142857143,0.047619048,0.285714286,0,0.285714286,0.238095238,,,,,,,,,,,,,
P32805,262,288,26,0.2203,0.011083,30, nan, nucleus,3.914,1,0,3,1,2,0,4,1,1,2,0,0,0,0,0,0,2,1,0,3,0.19047619,0.047619048,0.047619048,0.238095238,0.19047619,0.285714286,,,,,,,,,,,,,
Q12242,10,38,28,0.3641,0.000061,78, nan, nucleus; cytoplasm,4.038,1,0,1,3,2,3,1,0,0,2,1,2,1,1,1,0,0,2,0,0,0.19047619,0.047619048,0.238095238,0.095238095,0.238095238,0.19047619,,,,,,,,,,,,,
P36106,72,138,66,0.2872,0.000048,54, nan, nucleus,3.29,3,3,8,3,0,5,2,0,1,3,1,3,1,1,1,4,1,0,1,1,0.261904762,0.047619048,0.214285714,0.047619048,0.095238095,0.333333333,,,,,,,,,,,,,
P08638,735,879,144,0.1973,0.000026,18, nan, nucleus,3.869,9,0,8,9,1,5,2,10,3,10,5,16,13,7,4,17,13,6,3,2,0.118881119,0.048951049,0.188811189,0.041958042,0.216783217,0.384615385,,,,,,,,,,,,,
Q12502,139,234,95,0.1787,7.00E-06,18, nan, golgi apparatus; cytoplasm,4.231,3,3,2,3,2,3,2,4,3,3,1,4,6,1,0,11,5,3,0,2,0.081967213,0.049180328,0.196721311,0.06557377,0.180327869,0.426229508,,,,,,,,,,,,,
P53870,25,198,173,0.2325,0.000475,42, nan, ,3.204,3,0,11,11,2,3,1,2,2,8,0,6,3,7,2,5,8,2,2,3,0.271604938,0.049382716,0.111111111,0.086419753,0.148148148,0.333333333,,,,,,,,,,,,,
P53189,281,537,256,0.4753,0.007237,90, nan, secreted; cell wall,3.263,4,1,14,5,1,23,0,3,5,1,0,7,2,5,0,19,7,2,0,2,0.188118812,0.04950495,0.287128713,0.02970297,0.059405941,0.386138614,,,,,,,,,,,,,
Q06705,11,35,24,0.1982,0.000339,18, False, cytoplasm; microsome; endosome,4.66,0,0,1,1,1,1,3,1,1,2,0,0,1,1,0,0,1,4,2,0,0.1,0.05,0.1,0.15,0.35,0.25,,,,,,,,,,,,,
P53036,150,406,256,0.0951,0.0277,6, nan, ,3.518,5,0,10,14,3,6,3,7,5,8,3,12,10,4,1,16,4,3,0,6,0.2,0.05,0.175,0.075,0.175,0.325,,,,,,,,,,,,,
Q03178,238,337,99,0.2034,7.00E-06,30, nan, secreted; cell wall,3.988,6,1,2,3,1,12,2,3,3,4,1,4,3,4,0,4,3,1,0,2,0.084745763,0.050847458,0.355932203,0.050847458,0.152542373,0.305084746,,,,,,,,,,,,,
P32478,310,409,99,0.1907,0.000995,18, nan, secreted; cell wall,4.119,5,1,4,3,1,12,2,4,3,3,1,2,4,2,0,5,3,2,0,2,0.118644068,0.050847458,0.355932203,0.050847458,0.169491525,0.254237288,,,,,,,,,,,,,
P32566,89,183,94,0.2292,2.00E-06,42, False, nucleus,3.575,5,0,5,5,3,4,3,0,2,4,3,5,4,3,1,4,3,2,2,1,0.169491525,0.050847458,0.220338983,0.101694915,0.152542373,0.305084746,1,1,,,,,,,,,,,
P49626,5,44,39,0.354,0.005184,66, nan, nucleus; cytoplasm,4.782,5,0,1,1,2,1,2,2,1,3,0,3,4,0,1,3,5,5,0,0,0.051282051,0.051282051,0.256410256,0.051282051,0.256410256,0.333333333,,,,,,,,,,,,,
P10664,6,44,38,0.2368,0.002444,42, False, nucleus; cytoplasm,4.679,5,0,1,1,2,1,2,2,1,3,0,3,4,0,1,3,5,4,0,0,0.052631579,0.052631579,0.263157895,0.052631579,0.236842105,0.342105263,2,0,,,,,,,,,,,
Q02875,149,225,76,0.2351,0.000268,42, nan, cytoplasm,3.329,1,0,1,1,1,7,0,3,0,1,0,5,4,5,2,1,4,0,0,2,0.052631579,0.052631579,0.315789474,0.078947368,0.105263158,0.394736842,1,0,,,,,,,,,,,
P43582,7,37,30,0.4217,0.002446,78, True, nucleus; cytoplasm; mitochondrion,2.842,0,0,1,1,0,1,0,0,1,1,0,1,2,3,0,4,2,0,1,1,0.105263158,0.052631579,0.157894737,0.105263158,0.052631579,0.526315789,2,0,,,,,,,,,,,
P47042,10,33,23,0.4023,0.031289,78, nan, ,4.3,0,0,2,0,2,1,0,1,1,3,0,2,2,0,0,3,2,0,0,0,0.105263158,0.052631579,0.157894737,0.105263158,0.210526316,0.368421053,,,,,,,,,,,,,
P40483,609,692,83,0.318,0.000243,66, True, cytoplasm,3.777,4,0,4,3,2,13,2,2,1,3,1,3,2,4,2,1,4,2,2,2,0.122807018,0.052631579,0.333333333,0.105263158,0.140350877,0.245614035,,,,,,,,,,,,,
P32501,466,504,38,0.2895,0.00006,54, True, cytoplasm; cytosol,3.73,1,1,5,6,0,3,0,2,2,3,0,2,0,1,0,4,1,3,0,3,0.297297297,0.054054054,0.108108108,0.081081081,0.216216216,0.243243243,,,,,,,,,,,,,
P25569,314,421,107,0.3237,0.000529,66, nan, cytoplasm; nucleus,3.875,3,1,5,5,3,2,0,2,2,5,1,2,4,3,1,7,4,1,2,2,0.181818182,0.054545455,0.163636364,0.127272727,0.163636364,0.309090909,,,,,,,,,,,,,
P39723,135,208,73,0.2563,0.000235,42, nan, cytoplasm; cytoskeleton; microtubule organizing center; spindle pole body,3.244,1,0,5,12,3,0,2,3,2,5,1,5,0,4,1,6,3,1,0,1,0.309090909,0.054545455,0.018181818,0.072727273,0.181818182,0.363636364,,,,,,,,,,,,,
P05317,224,265,41,0.2681,0.000018,54, False, cytoplasm,4.556,4,0,3,2,0,2,2,3,1,5,0,2,3,0,1,1,1,3,0,3,0.138888889,0.055555556,0.25,0.083333333,0.305555556,0.166666667,9,0,,,,,,,,,,,
P36119,13,68,55,0.1126,0.001626,6, nan, cytoplasm; cytosol,3.217,1,0,4,8,2,1,1,0,2,5,1,1,2,3,0,4,1,0,0,0,0.333333333,0.055555556,0.111111111,0.055555556,0.166666667,0.277777778,,,,,,,,,,,,,
P35210,1006,1043,37,0.7968,0.483938,90, nan, ,5.011,0,1,3,1,3,1,1,2,2,8,1,2,1,1,0,2,2,2,1,1,0.114285714,0.057142857,0.057142857,0.142857143,0.371428571,0.257142857,,,,,,,,,,,,,
P47087,125,160,35,0.3622,0.080253,66, nan, ,3.629,0,0,3,3,0,3,2,2,1,6,1,1,1,5,1,4,2,0,0,0,0.171428571,0.057142857,0.114285714,0,0.257142857,0.4,,,,,,,,,,,,,
P15703,26,305,279,0.4074,0.004094,78, True, secreted; cell wall,3.048,9,2,16,3,0,16,0,0,5,1,1,10,2,6,1,19,7,1,1,5,0.180952381,0.057142857,0.257142857,0.057142857,0.028571429,0.419047619,7,0,,,,,,,,,,,
Q04951,139,385,246,0.4048,0.011149,78, True, secreted; cell wall,2.965,5,1,15,8,1,20,0,0,5,2,0,5,2,6,1,18,11,0,0,4,0.221153846,0.057692308,0.259615385,0.048076923,0.019230769,0.394230769,2,0,,,,,,,,,,,
P53297,48,129,81,0.1353,6.00E-06,6, False, nucleus; cytoplasm; mitochondrion,3.583,4,0,9,5,1,7,1,1,1,4,0,3,0,1,2,5,4,3,0,1,0.269230769,0.057692308,0.211538462,0.038461538,0.153846154,0.269230769,,,,,,,,,,,,,
P40366,25,115,90,0.3631,0.015686,66, nan, nucleus,3.857,5,0,8,3,3,1,3,1,2,6,1,2,5,9,2,3,7,7,0,1,0.15942029,0.057971014,0.15942029,0.057971014,0.217391304,0.347826087,,,,,,,,,,,,,
P25502,886,956,70,0.2474,0.017247,42, nan, nucleus,3.741,2,0,10,6,2,2,2,3,4,10,3,5,0,6,0,5,4,2,2,1,0.231884058,0.057971014,0.057971014,0.072463768,0.260869565,0.31884058,,,,,,,,,,,,,
Q02642,63,102,39,0.3771,0.000083,78, True, nucleus; cytoplasm,4.144,2,0,3,1,4,3,1,0,2,3,0,3,1,4,0,1,1,4,0,1,0.117647059,0.058823529,0.176470588,0.147058824,0.205882353,0.294117647,8,0,,,,,,,,,,,
Q12421,152,191,39,0.2473,0.001279,42, nan, preautophagosomal structure; cytoplasm; cytoskeleton,4.397,0,1,5,2,2,0,0,2,1,6,1,2,1,2,1,4,1,2,0,1,0.205882353,0.058823529,0.029411765,0.088235294,0.323529412,0.294117647,,,,,,,,,,,,,
P23776,41,436,395,0.4734,0.000232,90, True, secreted; secreted; cell wall,2.753,7,1,24,14,1,24,1,0,7,2,1,11,3,7,1,17,5,2,1,5,0.28358209,0.059701493,0.253731343,0.052238806,0.037313433,0.313432836,12,0,,,,,,,,,,,
P38792,273,348,75,0.27,0.00072,54, True, nucleus; nucleolus; cytoplasm,3.438,2,1,3,8,1,3,0,5,2,1,1,5,1,4,1,8,1,1,1,1,0.22,0.06,0.12,0.06,0.16,0.38,1,0,,,,,,,,,,,
